0.65307 0.9135 0.99926 0.18748 0.14696 0.16105 0
0.95969 2.0065 3.3661 0.27832 0.25881 0.18512 1
0.9135 0.99926 1.362 0.14696 0.16105 0.19826 0
2.0065 3.3661 2.8797 0.25881 0.18512 0.18681 1
0.99926 1.362 1.5848 0.16105 0.19826 0.34915 0
3.3661 2.8797 2.8833 0.18512 0.18681 0.24276 1
1.362 1.5848 1.4066 0.19826 0.34915 0.30785 0
2.8797 2.8833 1.7312 0.18681 0.24276 0.24073 1
1.5848 1.4066 1.5855 0.34915 0.30785 0.37631 0
2.8833 1.7312 0.96023 0.24276 0.24073 0.23341 1
1.4066 1.5855 1.6136 0.30785 0.37631 0.30175 0
1.7312 0.96023 2.5968 0.24073 0.23341 0.25424 1
1.5855 1.6136 1.5779 0.37631 0.30175 0.28122 0
0.96023 2.5968 1.3746 0.23341 0.25424 0.29148 1
1.6136 1.5779 1.8405 0.30175 0.28122 0.23753 0
2.5968 1.3746 0.73455 0.25424 0.29148 0.29535 1
1.5779 1.8405 1.4832 0.28122 0.23753 0.22297 0
1.3746 0.73455 1.7031 0.29148 0.29535 0.27876 1
1.8405 1.4832 1.0927 0.23753 0.22297 0.25747 0
0.73455 1.7031 2.6156 0.29535 0.27876 0.27868 1
1.4832 1.0927 0.4942 0.22297 0.25747 0.23243 0
1.7031 2.6156 2.2473 0.27876 0.27868 0.23125 1
1.0927 0.4942 0.28061 0.25747 0.23243 0.21187 0
2.6156 2.2473 1.9192 0.27868 0.23125 0.28347 1
0.4942 0.28061 0.74338 0.23243 0.21187 0.23217 0
2.2473 1.9192 1.7057 0.23125 0.28347 0.26126 1
0.28061 0.74338 1.0597 0.21187 0.23217 0.26124 0
1.9192 1.7057 1.6075 0.28347 0.26126 0.26553 1
0.74338 1.0597 1.3143 0.23217 0.26124 0.19775 0
1.7057 1.6075 0.9285 0.26126 0.26553 0.28409 1
1.0597 1.3143 1.4212 0.26124 0.19775 0.22781 0
1.6075 0.9285 0.86225 0.26553 0.28409 0.27212 1
1.3143 1.4212 1.1914 0.19775 0.22781 0.2285 0
0.9285 0.86225 1.4323 0.28409 0.27212 0.26832 1
1.4212 1.1914 1.0203 0.22781 0.2285 0.32095 0
0.86225 1.4323 2.0474 0.27212 0.26832 0.31021 1
1.1914 1.0203 0.96252 0.2285 0.32095 0.26744 0
1.4323 2.0474 1.7764 0.26832 0.31021 0.3092 1
1.0203 0.96252 0.80167 0.32095 0.26744 0.24803 0
2.0474 1.7764 0.9149 0.31021 0.3092 0.27016 1
0.96252 0.80167 1.0931 0.26744 0.24803 0.22236 0
1.7764 0.9149 1.0868 0.3092 0.27016 0.29483 1
0.80167 1.0931 2.07 0.24803 0.22236 0.37303 0
0.9149 1.0868 1.6969 0.27016 0.29483 0.42635 1
1.0931 2.07 1.1162 0.22236 0.37303 0.31457 0
1.0868 1.6969 2.2526 0.29483 0.42635 0.28417 1
2.07 1.1162 1.8005 0.37303 0.31457 0.29802 0
1.6969 2.2526 2.7803 0.42635 0.28417 0.25563 1
1.1162 1.8005 2.5348 0.31457 0.29802 0.35091 1
2.2526 2.7803 2.0104 0.28417 0.25563 0.27147 0
1.8005 2.5348 1.1205 0.29802 0.35091 0.38018 1
